location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-09-14,52.214,52.227,52.215,52.207,52.202,30.869,FALSE
Oceania,2020-09-14,-15.908,-4.157,-9.423,-15.908,-19.922,1.892,FALSE
Asia,2020-09-14,19.504,33.937,27.675,16.146,7.119,3.528,FALSE
North America,2020-09-14,74.307,74.307,74.307,74.307,74.307,53.826,FALSE
Africa,2020-09-21,13.327,48.931,25.559,9.463,-7.652,2.389,FALSE
Latin America and Caribbean,2020-09-21,83.227,84.189,83.227,81.83,80.804,56.687,FALSE
Europe,2020-09-21,54.039,54.053,54.041,54.033,54.028,31.384,FALSE
Oceania,2020-09-21,-16.536,-4.346,-9.932,-16.536,-20.675,1.978,FALSE
Asia,2020-09-21,21.304,36.492,29.615,17.978,8.535,3.798,FALSE
North America,2020-09-21,76.396,76.396,76.396,76.396,76.396,55.239,FALSE
Africa,2020-09-28,13.593,49.934,26.406,9.527,-7.947,2.485,FALSE
Latin America and Caribbean,2020-09-28,85.466,86.412,85.466,84.002,83.026,58.912,FALSE
Europe,2020-09-28,56.14,56.154,56.142,56.134,56.128,31.964,FALSE
Oceania,2020-09-28,-16.864,-4.405,-10.156,-16.864,-21.246,2.049,FALSE
Asia,2020-09-28,22.877,39.016,31.748,19.716,10.085,4.054,FALSE
North America,2020-09-28,77.952,77.952,77.952,77.952,77.952,56.657,FALSE
Africa,2020-10-05,13.867,50.724,27.287,9.304,-8.453,2.568,FALSE
Latin America and Caribbean,2020-10-05,87.85,88.751,87.85,86.312,85.376,61.851,FALSE
Europe,2020-10-05,59.59,59.605,59.592,59.583,59.577,32.627,FALSE
Oceania,2020-10-05,-17.699,-4.866,-10.758,-17.699,-22.264,2.085,FALSE
Asia,2020-10-05,24.417,41.596,33.632,21.44,11.689,4.312,FALSE
North America,2020-10-05,80.087,80.087,80.087,80.087,80.087,58.059,FALSE
Africa,2020-10-12,14.253,52.384,28.104,9.297,-8.746,2.685,FALSE
Latin America and Caribbean,2020-10-12,90.165,91.017,90.165,88.549,87.589,63.786,FALSE
Europe,2020-10-12,63.651,63.666,63.653,63.644,63.638,33.496,FALSE
Oceania,2020-10-12,-18.342,-5.173,-11.219,-18.342,-23.036,2.098,FALSE
Asia,2020-10-12,25.834,44.044,35.537,23.07,13.038,4.556,FALSE
North America,2020-10-12,81.713,81.713,81.713,81.713,81.713,59.429,FALSE
Africa,2020-10-19,14.636,54.508,28.47,9.564,-9.229,2.799,FALSE
Latin America and Caribbean,2020-10-19,92.614,93.428,92.614,90.929,89.942,65.583,FALSE
Europe,2020-10-19,69.083,69.1,69.085,69.077,69.071,34.662,FALSE
Oceania,2020-10-19,-18.636,-5.27,-11.349,-18.636,-23.59,2.123,FALSE
Asia,2020-10-19,27.159,45.964,37.088,24.446,14.183,4.786,FALSE
North America,2020-10-19,83.719,83.719,83.719,83.719,83.719,60.876,FALSE
Africa,2020-10-26,14.991,56.62,29.045,9.647,-10.54,2.916,FALSE
Latin America and Caribbean,2020-10-26,95.034,95.807,95.034,93.308,92.276,67.4,FALSE
Europe,2020-10-26,75.603,75.62,75.606,75.596,75.59,36.354,FALSE
Asia,2020-10-26,28.525,47.745,38.708,25.729,15.417,5.005,FALSE
Oceania,2020-10-26,-19.027,-5.429,-11.609,-19.027,-24.192,2.145,FALSE
North America,2020-10-26,85.979,85.979,85.979,85.979,85.979,62.501,FALSE
Africa,2020-11-02,16.016,59.005,30.172,10.342,-10.137,3.041,FALSE
Latin America and Caribbean,2020-11-02,97.577,98.35,97.577,95.821,94.777,69.102,FALSE
Europe,2020-11-02,84.412,84.429,84.414,84.405,84.399,38.828,FALSE
Asia,2020-11-02,29.944,49.446,40.319,27.193,16.541,5.218,FALSE
