location,iso3c,official_covid_deaths_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_demography_adjusted,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95
El Salvador,SLV,NA,435.55247358297856,493.665,183.132,5264.746447274007,474.4968776529016,110.39443643155997,125.12348002888604,46.41640453716841
Somalia,SOM,NA,251.80903160860012,544.662,32.755,9220.396616938857,782.7273262336129,182.1060287826597,393.89447342394334,23.687778746847307
Serbia,SRB,NA,882.58199167796,899.083,880.174,5082.2411129676375,507.4616592746619,118.06388308255715,120.2711770976672,117.74170914901669
South Sudan,SSD,NA,261.9941757626003,430.699,14.773,7613.896418558569,688.7366507138541,160.2385557970618,263.4202963549842,9.03547488768815
São Tomé and Príncipe,STP,NA,42.80406294420016,295.416,-56.507,1483.1622641787997,113.56114275712619,26.42065510991084,182.3443335797571,0
Suriname,SUR,NA,311.7140225066054,485.024,283.366,4496.091482858868,391.0703081842966,90.98476367362434,141.57136062043915,82.71040392105623
Slovakia,SVK,NA,547.8975823193862,557.763,543.145,3635.684023353591,342.95782769847443,79.79111747972449,81.22776888780514,79.09902445394442
Slovenia,SVN,NA,307.2614747817972,318.327,302.37,1611.905753760346,144.65846550108952,33.65562667775624,34.86768923985636,33.11985088064579
Sweden,SWE,NA,183.8678648607833,201.793,171.442,920.0293463136518,88.79852017507291,20.659488085935426,22.67354897882996,19.263308945903184
Eswatini,SWZ,NA,276.3790421874999,559.137,143.739,8737.876768495098,644.4608652975428,149.93753884880311,303.33588985255386,77.97964994048313
Seychelles,SYC,NA,-38.397754177032915,13.435,-113.481,-446.17422934037785,-40.26649440445939,0,3.2779039405545443,0
Syria,SYR,NA,132.5013834352,366.407,-24.609,NA,239.28359011573426,55.67070790604884,153.94638963900772,0
Chad,TCD,NA,240.74438514190015,439.113,-12.041,9684.005838370882,829.7638036666175,193.04933665778708,352.1183206336924,0
