region,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
East Asia & Pacific,2020-08-31,2362944397,-7.1774469212756955,8.269410456304165,4.360039492979687,-0.9638227875614043,-7.1774469212756955,-9.154769589085648,-9.894121263222498,-220.48567830319203,-5.377699470809562,0.7742490269016685
North America,2020-08-31,376814276,70.63802506266431,70.63933900537194,70.63922459548539,70.63862301064039,70.63802506266431,70.63778845760024,70.63773936591917,282.5548326367118,70.63870815917795,52.514470019708064
Other,2020-08-31,3675292,37.34054773145984,71.1109952521749,65.63556764235581,51.76652843354248,37.34054773145984,29.291507425525413,28.377147725434433,230.57404601058562,38.42900766843094,15.101466767810559
Latin America & Caribbean,2020-09-07,660258572,78.67899962745835,80.86589970630949,80.568945437647,79.20164928977006,77.84296704929201,76.89886493211633,76.72521745799021,3754.376650100133,76.61993163469658,56.00105726457725
South Asia,2020-09-07,1918999115,46.074832374921016,69.739675577798,61.56564834126524,46.074832374921016,28.429165820723632,13.097479688853976,11.910900998851151,-0.06830145982450601,-0.008537682478063252,4.392759920579745
Sub-Saharan Africa,2020-09-07,1211214422,28.222366921913128,42.60812425375282,40.25947195060769,28.222366921913128,1.9536025864710422,-14.857389423075066,-17.652657680652382,88.47118965231718,1.8431497844232743,2.056550314094592
Europe & Central Asia,2020-09-07,923927595,46.7885568124715,47.03040449779747,46.97852736076494,46.7885568124715,46.536188839602296,46.288836975946595,46.27165282553076,2713.39908711817,45.989815035901174,24.585850799271775
Middle East & North Africa,2020-09-07,493379661,47.237036525952405,54.349698056469656,52.20576290811644,48.103330442720925,43.688648470368015,40.627858427444004,39.94514541018213,713.1983564705971,33.96182649859986,9.527775811577284
East Asia & Pacific,2020-09-07,2362944397,-7.044662970039609,9.214210921758204,5.157711438383541,-0.7728795337766372,-7.044662970039609,-9.125778132868808,-9.765365070170706,-220.85206320835255,-5.386635688008598,0.8268954201718358
North America,2020-09-07,376814276,72.4589645348698,72.46030716617253,72.46023085868065,72.4596170774763,72.4589645348698,72.4587229923354,72.45867856077714,289.8385973347564,72.4596493336891,54.02662079607621
Other,2020-09-07,3675292,38.44115122518057,74.37802890329371,68.21574977288316,53.823184725641774,38.44115122518057,29.464600415021334,29.292312965690463,236.66131675433078,39.443552792388466,16.488975569832274
