region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Australia and New Zealand,2020-11-30,31050817,-5902.345880145912,-5902.345880145912,-5902.345880145912,-5902.345880145912,-5902.345880145912,-5902.345880145912,-5902.345880145912,-11804.691760291824,-5902.345880145912,940.1956666666666
Western Europe,2020-11-30,198272204,111189.67693764903,111189.67693764903,111189.67693764903,111189.67693764903,111189.67693764903,111189.67693764903,111189.67693764903,1000707.0924388412,111189.67693764903,105291.354
Eastern Europe,2020-11-30,291464163,471808.2701957906,471808.2701957906,471808.2701957906,471808.2701957906,471808.2701957906,471808.2701957906,471808.2701957906,4718082.701957907,471808.2701957906,102206.95566666666
Northern America,2020-11-30,375278947,403456.46255916957,403461.3837596011,403460.6236523837,403458.1185375568,403455.09321409615,403453.7074256548,403453.44253014564,2017290.5284273517,403458.10568547033,282707.985
South-eastern Asia,2020-11-30,675308604,95376.93572468356,209784.64167520878,203714.71964688177,123494.22699500869,-4377.30276322502,-52781.22467678899,-68082.7788408465,-267134.11037710286,-24284.919125191172,27782.335
Eastern Asia,2020-11-30,1613865100,36701.03058122381,713742.5705040909,694442.7598979472,238304.56993128083,-214.05114066048588,-159745.59371550014,-185786.64662257835,-558561.2912623334,-93093.54854372224,6143.592
Polynesia,2020-11-30,672480,-55.44630557908566,141.84324390835607,96.59904722274243,12.445870962952057,-74.6418201900845,-143.52595943129722,-172.05172554150653,-27.284555061224026,-3.031617229024901,76.496
Northern Europe,2020-11-30,106197356,90143.49939781762,90285.20284767369,90257.4422712932,90171.97293167126,90095.15759915533,90066.44127190925,90053.6483430931,1262310.423983359,90165.03028452565,89309.213
Northern Africa,2020-11-30,255737737,298733.5893771563,325299.1342202456,301874.38674530043,298733.5893771563,210095.50390569365,182845.60480735608,174584.93019318982,1011649.4305451491,144521.3472207356,20628.426
Melanesia,2020-11-30,12188834,-802.5281189572057,3613.442475463879,3226.106268073911,989.4387722178567,-2250.0550728567955,-4353.713229570617,-5038.154767312177,0,0,9.758
Micronesia,2020-11-30,534606,15.667746020897965,276.334637602973,246.40568813620163,78.10441165152437,-43.35226055849608,-232.48104040855486,-292.493057157742,0,0,0
Central Asia,2020-11-30,75497721,62196.87432574017,64965.08099971189,64430.72136561062,63050.10171490534,61447.56604188777,60359.1162692175,59666.13880082059,298833.1475088736,59766.629501774725,4906.3279999999995
Other,2020-11-30,25642027,-3726.4796249946726,-3726.4796249946726,-3726.4796249946726,-3726.4796249946726,-3726.4796249946726,-3726.4796249946726,-3726.4796249946726,-7452.959249989345,-3726.4796249946726,1031.52
Latin America and the Caribbean,2020-12-07,654992992,751005.2530621284,763089.5993881891,760963.9324060327,751140.6465368178,739715.6869697962,731055.9417951145,727903.3517786401,32584613.949311834,724102.5322069296,507110.891
Southern Asia,2020-12-07,1989452477,1646680.1175606186,1893200.041380099,1825839.7556846973,1646680.1175606186,1342061.1323166497,1056300.1829622863,685161.9222294416,1037489.3240149185,115276.59155721316,210603.33933333334
Sub-Saharan Africa,2020-12-07,1136656566,279413.3653547514,498712.38362931175,453273.355404888,279413.3653547514,10362.567017813411,-250403.86589973047,-373872.62130129733,1939130.9264660303,39574.100540123065,32474.908666666666
Southern Europe,2020-12-07,150043376,233554.7265757243,233555.2749985211,233555.1554735366,233554.90141415328,233554.64172439853,233554.49567549676,233554.4323984966,3736876.9029912804,233554.80643695503,129107.32333333333
Western Asia,2020-12-07,289775883,305153.69134711043,396929.4467432359,380453.718019428,305153.69134711043,201302.74407180384,165803.16321983578,153475.972134155,321431.2006935825,17857.288927421247,51769.58033333333
Australia and New Zealand,2020-12-07,31050817,-5937.12059924695,-5937.12059924695,-5937.12059924695,-5937.12059924695,-5937.12059924695,-5937.12059924695,-5937.12059924695,-11874.2411984939,-5937.12059924695,940.1956666666666
Western Europe,2020-12-07,198272204,121860.91344545393,121860.91344545393,121860.91344545393,121860.91344545393,121860.91344545393,121860.91344545393,121860.91344545393,1096748.2210090854,121860.91344545393,113439.347
