region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
EMRO,2021-12-20,739378959,1499.486056604891,2411.313482441056,2247.8155418158963,1676.0315881478227,1180.841597854115,990.3178932811235,973.649281871827,5434.80920891505,258.80043851976427,196.858
AFRO,2021-12-20,1148918838,4525.64021669414,6079.625254172615,5970.318011048157,4525.64021669414,2798.836895018658,2170.96296634333,2021.7385056944267,21390.116658407915,455.1088650725088,94.854
EURO,2021-12-20,935273721,7265.238980529087,7327.956644386933,7278.227876905954,7265.238980529087,6923.430552983376,6755.804979823734,6714.884949719192,334533.5293692814,6311.953384326063,3920.717
AMRO,2021-12-20,1026162142,3103.6208669785415,3319.4834560671925,3313.647093541082,3224.207261660334,3103.6208669785415,3050.035898309035,3035.4208540059226,97145.47910540587,2775.5851172973107,1941.5710000000001
WPRO,2021-12-20,1939733436,1913.7361767510195,5185.889224328552,5011.904181581798,3525.865359560414,1913.7361767510195,798.0500669788593,597.3165781312518,8355.687439538242,309.469905168083,419.86
SEARO,2021-12-20,2040340794,6823.424287477203,13170.823497044203,11705.872217075608,6892.623447994675,3898.3967807913195,2434.5890990946714,2071.983544244872,3047.635997080811,277.0578179164374,372
Other,2021-12-27,44430902,50.19252785038508,83.12249521048317,80.72550612392239,60.633903402214735,49.15954995380345,38.45585296554842,37.910804510380636,1157.887108427336,32.16353078964822,7.5729999999999995
EMRO,2021-12-27,739378959,1386.5899994726608,2159.1097562663144,2071.085988883123,1606.761587278606,1151.9507892439333,846.1610840059492,793.4075289069224,3928.9892089150476,187.0947242340499,173.145
AFRO,2021-12-27,1148918838,5050.064317308307,6549.459306160482,6517.399080684502,5050.064317308307,3322.380685250773,2706.780410464318,2578.376042412069,23480.94522983649,499.59457935822314,139.144
EURO,2021-12-27,935273721,6513.647704310695,6724.842487136474,6676.481387242097,6527.209944835745,6323.873117575383,6131.729028816871,6089.929874827473,302035.8607306977,5698.789825107504,3449.716
AMRO,2021-12-27,1026162142,3446.644276084226,3757.6911285907568,3742.3740259733363,3580.6872440384445,3422.012916848394,3330.223109077671,3288.1830323749305,103635.68603424483,2961.019600978424,1965.289
WPRO,2021-12-27,1939733436,1834.352355588674,4383.116866192655,4216.899360379935,3100.0518849495193,1693.599626868681,289.4564410493674,-167.14160878091147,7019.5731538239515,259.9841908823686,420.286
SEARO,2021-12-27,2040340794,6382.988561091999,12604.425615278376,11109.11913067967,6788.889447795351,3814.7504400295743,2159.3584802612972,2111.4486032222935,3047.635997080811,277.0578179164374,386.85699999999997
Other,2022-01-03,44430902,11.300056231284875,37.31987867894329,35.131288634105424,19.618216295988766,5.086177982221831,-5.087524230810515,-8.03627331698758,-253.7204242808811,-7.047789563357808,3.8579999999999997
EMRO,2022-01-03,739378959,1417.8015135120709,2386.2000855817273,2337.476055199099,1805.5656311159553,1277.9829844174456,982.0797616076393,868.6017666699368,6154.3150068624755,293.0626193744036,156.288
AFRO,2022-01-03,1148918838,4768.115907665,6875.213761152987,6453.0245660498695,4803.819126114829,3287.0886236175347,2532.1931363817334,2285.3020317915634,14988.076190474667,318.8952380952057,172.434
EURO,2022-01-03,935273721,3234.1878986890174,3636.1193314455495,3621.039465896544,3366.088536843246,3087.729279147206,2957.825300321155,2921.604006954098,135364.69510264188,2554.050850993243,3244.281
AMRO,2022-01-03,1026162142,5994.745186424577,6478.603864815577,6462.106301418614,5994.745186424577,5369.973211880522,5023.592741722096,4992.097605013819,143662.77793073023,4104.6507980208635,1820.7150000000001
WPRO,2022-01-03,1939733436,622.6759017864341,3780.4715205217085,3486.484785297924,2537.562883393738,622.6759017864341,-99.12000767173446,-322.1322594642164,3030.3539189068415,112.23533032988303,394.999
SEARO,2022-01-03,2040340794,5520.478135385826,13421.326906365473,11688.633265728919,7833.963105169933,4027.3700910585358,2867.0505546429604,2121.341468141263,749.31280854386,68.11934623126,299.285
Other,2022-01-10,44430902,15.680219094281172,42.17056364725548,39.42388317126711,28.204140358801553,11.546324577330454,0.5794588931277194,-1.947549690207608,-253.7204242808811,-7.047789563357808,11.286
EMRO,2022-01-10,739378959,1650.6985056055303,2835.927440939821,2641.130442712394,2217.803586212922,1650.6985056055303,1305.3895360046888,1167.974014530871,8342.115006858961,397.2435717551886,144.144
AFRO,2022-01-10,1148918838,4355.2061989224585,6502.574364778397,6068.533547529595,4355.2061989224585,2775.1135374690125,2083.2742465172473,1928.999122614053,13754.885714286454,292.6571428571586,248.59666666666666
EURO,2022-01-10,935273721,2681.0935258061295,3215.9936907500405,3091.3199848116756,2844.2240050714195,2538.4345105630487,2383.900784146822,2362.3132227936508,105863.6331978664,1997.4270414691773,3090.143
AMRO,2022-01-10,1026162142,8045.631649783484,8249.218293615631,8045.631649783484,8045.631649783484,6779.124395481188,6376.764108197589,6244.548531011689,176080.36126400548,5030.867464685871,2345.7129999999997
WPRO,2022-01-10,1939733436,1019.1661040603329,4310.623780619226,4023.5733275188686,3091.379761843661,1019.1661040603329,-75.01067394312061,-212.95072342645372,3678.353918900804,136.2353303296594,418.85699999999997
SEARO,2022-01-10,2040340794,10834.338477058553,19671.81191486326,18484.021896691418,13198.221026156254,8022.0454311355725,5640.646459456423,4759.597930930565,749.31280854386,68.11934623126,353.858
Other,2022-01-17,44430902,16.443623550209082,47.282662053869224,43.783498848477656,30.547522574481533,11.69862940267302,-0.5590413261516971,-3.0311315014092117,-253.7204242808811,-7.047789563357808,10.573
EMRO,2022-01-17,739378959,2686.362615539467,4188.9841747532655,4067.0814972618014,2733.3597510289233,1903.4958040774666,1329.5094107639231,1178.18930427547,6361.6150068589595,302.93404794566476,152.857
AFRO,2022-01-17,1148918838,3430.8390177827723,5428.7549519537715,4820.1681312427,3472.106293667466,2227.240170723337,1670.2284211893473,1393.4284646061078,8771.766666667383,186.6333333333486,280.57
EURO,2022-01-17,935273721,2874.3880807028954,3402.7744515930567,3302.80047332122,3053.46293689884,2682.993124472943,2501.3548414904562,2443.12284838913,110942.79986453331,2093.2603748025153,3290.859
AMRO,2022-01-17,1026162142,8958.092406873762,9160.88659575599,8958.092406873762,8958.092406873762,7537.479073468797,7128.702363842782,6952.514654745077,194551.27793067243,5558.607940876355,2867.856
WPRO,2022-01-17,1939733436,1505.973174187402,3981.898315887706,3832.326034706828,2971.1807709842356,1505.973174187402,-101.40626109262621,-777.3293355274707,4410.568204615093,163.35437794870717,369.713
SEARO,2022-01-17,2040340794,16628.66476502065,27728.457446804223,26820.380849402012,20460.63324158987,10179.006873670322,7200.083893163079,6188.043836195911,749.31280854386,68.11934623126,406.858
Other,2022-01-24,44430902,22.372588130382393,49.98592746513466,47.41605358013154,31.436280274801188,12.815493776982066,0.3728914441993276,-2.8206149046897107,-253.7204242808811,-7.047789563357808,10.286
EMRO,2022-01-24,739378959,2828.5715595394117,4656.578790424009,4203.765097735467,3088.6455217949983,2080.1971237334114,1435.4489347468823,1243.232945616103,8327.115006858963,396.529286040903,179.858
AFRO,2022-01-24,1148918838,2811.504287758873,4129.115546190819,3778.3688264362104,2811.504287758873,1738.6374396505057,1005.6602055684053,867.1184230286642,6689.219047619816,142.32380952382587,298.289
EURO,2022-01-24,935273721,3723.6123420393524,4229.312486370912,4034.7613624536534,3766.0450349058838,3416.9664554780315,3196.0770063139303,3149.517068508096,142836.18081691398,2695.022279564415,3187.001
AMRO,2022-01-24,1026162142,9343.719179635638,9452.169602528018,9343.719179635638,9343.719179635638,7878.52562085297,7517.621050049774,7405.373883647355,200725.19459733897,5735.00555992397,3736.715
WPRO,2022-01-24,1939733436,1450.1068035389915,3924.531554149818,3908.370461006227,3001.816894662391,1334.7660381994488,-60.43606290610367,-496.66493245787206,4154.068204615093,153.85437794870717,399.144
SEARO,2022-01-24,2040340794,20899.80834706888,29947.166038915828,29350.370881552288,21592.77710405524,11188.298598094112,7221.869284585257,7015.888281117827,749.31280854386,68.11934623126,583.8560000000001
