region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Other,2021-07-26,44753371,5442.121923979653,11929.034361817066,11183.898081168492,8033.132088337887,4602.3625886042555,1146.0542314567672,-2419.4081425406675,81344.29391664792,2259.5637199068874,7571.559333333334
EMRO,2021-07-26,761408469,1845808.8206726885,2043453.2341044357,2020535.0546634465,1845808.8206726885,1237448.6504006651,996800.7685701565,939929.353026299,8876608.543808077,422695.6449432417,228403.10966666666
AFRO,2021-07-26,1162657993,976936.4592238452,1456665.6348316264,1411600.996736799,1047544.1431106715,543010.4155864676,227559.0598541491,157941.6583953379,11381525.970360849,242160.12702895424,113375.35766666666
EURO,2021-07-26,932917123,2177505.760999753,2216455.2018092447,2209867.146297381,2177505.760999753,2091918.2490082618,2045941.1855752561,2039237.7206755818,101660297.16631815,1918118.814458833,1217660.7916666667
AMRO,2021-07-26,1026253581,2611441.1369853998,2628731.055865394,2627054.7401752193,2611441.1369853998,2578694.8139791433,2560414.1954279235,2557793.3770154915,85009121.56840795,2428832.0448116562,1974899.241
WPRO,2021-07-26,1924140566,406897.18248442444,988405.7636974748,956031.7858162941,505064.34122041485,184459.95545401477,-147587.74512195552,-288888.7230725712,-441388.1261188475,-16347.708374772124,59950.99366666667
SEARO,2021-07-26,2030500787,5039044.428903307,6786721.6246650955,6661134.308375417,5192810.848246003,3924644.2998200636,1702885.358681503,1519646.7941067312,182259.57887501174,18225.957887501172,544090.7593333333
Other,2021-08-02,44753371,5738.789734098124,12326.653025061876,11584.138952808644,8396.036893603183,4881.475202415947,1430.432445588202,-2258.884306129245,90114.68311946573,2503.185642207382,7602.569333333333
EMRO,2021-08-02,761408469,1886992.9191378315,2090807.6459120754,2063801.017689562,1886992.9191378315,1265130.2597448493,1020696.5284578528,960294.3978127561,9032205.859238224,430105.0409161059,234176.11466666666
AFRO,2021-08-02,1162657993,1002673.2318284517,1488102.1288382832,1445285.2937023495,1069690.0812369448,564373.3363812605,247954.69925486285,183842.9391472545,11682975.221657246,248573.9408863244,118054.34666666666
