custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Asia,2021-02-15,4640537428,4137186.186050885,5677873.345840856,5259872.575059571,4231661.888991671,2423699.6956422473,1569720.910342511,1467198.730032897,8357570.238102436,163873.92623730266,387343.299
Asia,2021-02-22,4640537428,4192999.1768015875,5792163.646889033,5357466.185882127,4305203.795909975,2472303.812998349,1602001.7617061345,1529908.7703848206,8318235.633075156,163102.6594720619,393343.307
Asia,2021-03-01,4640537428,4252420.360346512,5892497.795201628,5453161.096947477,4378266.87334296,2505296.9127348927,1666150.336347074,1593593.3107127822,8339627.169551206,163522.10136374913,400057.336
Asia,2021-03-08,4640537428,4313670.920537816,5991015.037463901,5543987.638472447,4455325.745811871,2522491.800343197,1730145.4087069265,1652967.950643844,8376828.706027255,164251.54325543638,405855.359
Asia,2021-03-15,4640537428,4382475.417122754,6123486.1199643025,5639575.265411648,4539479.39507922,2566064.1532596443,1795524.3367979203,1678130.2123444902,8417284.042503305,165044.78514712362,411760.35599999997
Asia,2021-03-22,4640537428,4451978.5378084015,6243854.449115682,5737317.634753658,4627148.395996795,2631755.9095555064,1863350.2528802028,1702619.469340594,8454822.178979354,165780.82703881085,420627.354
Asia,2020-03-30,4640537428,45515.88619241128,433007.4335723174,353554.69454254705,45515.88619241128,-105418.19529334045,-269809.53382072685,-440410.545991987,-624177.1411733895,-12238.76747398803,6742.036
Asia,2020-04-06,4640537428,48089.23099395237,459067.8582825712,386689.79713960685,82169.68531485464,-105392.5312900512,-268173.2153003111,-429436.636066124,-790588.4410925899,-15501.734139070388,8802.052
Asia,2021-04-12,4640537428,4743304.7078879345,6637591.800256775,6123136.346173399,4917184.134890137,2843782.2866881713,1985153.857292789,1777399.969728255,8603766.76379085,168701.30909393824,455362.376
Asia,2021-04-19,4640537428,4922929.213381594,6828063.602440508,6392906.917657357,5066821.8485420495,2965194.1513829636,2057704.6988527426,1855877.4325612618,8652222.887958573,169651.42917565833,475367.403
Asia,2021-04-26,4640537428,5104798.668015209,7039391.469913659,6662864.386150777,5255207.404826596,3118965.218800953,2144633.8950884663,1930736.1701413242,8702035.612126298,170628.1492573784,505769.418
Asia,2021-05-03,4640537428,5282884.869934296,7243950.1523508355,6832328.166115009,5472841.1579635115,3234168.564179442,2229903.845614732,1998416.6037001498,8780754.725740168,172171.6612890229,541845.423
Asia,2021-05-10,4640537428,5464854.415732917,7434993.318955405,7033772.79441685,5668875.393834448,3354083.953752859,2322517.2090654094,2068518.0047376754,8859922.639354037,173723.9733206674,580756.414
Asia,2021-05-17,4640537428,5639720.192984447,7624109.961138512,7358254.4148546,5845937.325053754,3519331.1877347124,2416560.1085649575,2134698.634088059,8937774.752967907,175250.4853523119,620011.406
Asia,2021-05-24,4640537428,5813360.469355474,7829505.223888341,7681403.617522836,5991712.420572045,3665783.058827215,2540293.6772356145,2193801.6304989345,9013882.666581778,176742.7973839564,658663.4249999999
Asia,2021-05-31,4640537428,5981985.807976072,8029424.680614339,7919937.342481405,6123988.277051415,3809353.1659703925,2650738.343652086,2243474.6040036576,9089154.180195646,178218.70941560093,692416.438
Asia,2021-06-07,4640537428,6152786.399849087,8344763.762159752,8038419.351053454,6257022.3281915225,3907967.5354932006,2762784.3902085237,2293091.6939880806,9167170.174986131,179748.43480364967,720803.426
Asia,2021-06-14,4640537428,6325233.396671215,8671649.817279147,8253883.563886429,6398993.365368273,4003514.3482720717,2878358.3836038406,2343551.868493884,9246756.969776617,181308.9601916984,754974.4299999999
Asia,2021-06-21,4640537428,6446733.088171769,8811971.285094162,8434459.037451703,6498555.165550251,4112707.498977728,2897899.551727568,2362609.8335044864,9326823.164567104,182878.88557974712,775855.444
Asia,2021-06-28,4640537428,6572286.831299168,9103689.755437905,8647652.61961696,6659028.381258022,4221190.691381673,2913405.608354714,2390909.0320799667,9405841.071707547,184428.2563079911,793990.463
