custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
North America,2021-12-27,370982987,280.5861876297386,281.2972262035218,281.27802906738106,280.9439200321347,280.5236737566153,280.26403828158726,280.154494451062,559.3860579315627,279.69302896578137,228.5371593064455
Latin America and Caribbean,2022-01-03,658737988,340.5961232707183,348.56168187950095,348.1232536873777,343.6010477572338,336.5060148767059,332.46635650651814,331.8821386680254,14448.7659880343,301.0159580840479,233.7888954416881
Asia,2022-01-03,4678110154,201.10977139104415,283.16587979573063,264.7140323268127,222.4412896780947,167.90680464443994,114.5874978085624,102.62186123135544,729.3826276417675,14.58765255283535,26.8412584640192
Oceania,2022-01-03,43430556,-29.007369945792775,4.332876094849058,0.6623177209795725,-10.617072302745894,-29.007369945792775,-35.70204484506145,-37.269566589794124,-597.535644676991,-25.979810638130036,10.485193113039278
European Union,2022-01-03,447045744,264.66372286740955,264.66372286740955,264.66372286740955,264.66372286740955,264.66372286740955,264.66372286740955,264.66372286740955,7145.920517420058,264.66372286740955,203.4600902795606
North America,2022-01-03,370982987,284.9471521841212,285.8253462409314,285.6364635398963,285.31212212319497,284.86385396925664,284.58527411548175,284.45249586796825,567.6393189005921,283.81965945029606,231.19361508618184
Latin America and Caribbean,2022-01-10,658737988,345.83419410391764,353.3269798213085,352.40985034102033,348.2865383471107,340.72417579980026,336.9194908163205,335.68426248281344,14554.59202117254,303.22066710776124,234.2941032876944
Asia,2022-01-10,4678110154,203.1282488220529,286.2246922871227,266.76819046457604,225.05470062106042,170.7139534459142,116.16223196406511,104.10714832830955,730.84487046591,14.6168974093182,27.00108828319536
Oceania,2022-01-10,43430556,-26.45710601304482,5.368049652600278,2.759587634977526,-8.448854422269783,-26.45710601304482,-34.33583098627399,-35.87285169689949,-599.4804889814388,-26.06436908614951,10.848985370269416
European Union,2022-01-10,447045744,265.86421013741284,265.86421013741284,265.86421013741284,265.86421013741284,265.86421013741284,265.86421013741284,265.86421013741284,7178.333673710148,265.86421013741284,205.97906985852734
North America,2022-01-10,370982987,290.667772967235,291.76954455564487,291.46893264178783,291.1460815078497,290.591808542075,290.241810731779,290.1445227397664,578.5406797405697,289.27033987028483,234.72666012040062
Latin America and Caribbean,2022-01-17,658737988,351.69897199535683,358.45898345932403,357.12162040638515,353.13158208229726,345.23719955879295,341.43757662428936,339.85687094430574,14672.192204490806,305.67067092689183,235.1628852775377
Asia,2022-01-17,4678110154,206.31516015965332,290.5727461514497,269.48003943533473,228.61376325410734,174.18969906515977,118.0017142893636,105.84835276500515,731.7367262650589,14.634734525301175,27.15469710734534
Oceania,2022-01-17,43430556,-24.498128970000394,7.0626541833155745,5.193964423980581,-6.375250725680115,-24.498128970000394,-32.45016177051587,-34.38908069019549,-599.9778117145149,-26.085991813674564,11.763083729958849
European Union,2022-01-17,447045744,267.168601763119,267.168601763119,267.168601763119,267.168601763119,267.168601763119,267.168601763119,267.168601763119,7213.552247604214,267.168601763119,208.81479912564234
