world,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
World,2021-04-26,7882631890,52536.66607257988,73634.34436754581,70281.90960155298,53516.32546484689,43489.405038015575,33825.587680627985,32438.624257703945,2760209.508773076,12053.316632196838,13395.72
World,2021-05-03,7882631890,68051.57113598053,91148.73823586795,90846.86182496414,68051.57113598053,48183.631124928055,33631.32979981091,32088.998191172803,2252031.5476286863,9834.198897941862,13737.289
World,2021-05-10,7882631890,65617.88833091741,92822.66266483684,90967.39271639376,67605.63425162894,45720.17547796398,33812.3355333971,31998.775247895912,2190333.822390592,9564.776516989485,13276.927
World,2021-05-17,7882631890,75621.01462007704,97702.88500684108,90965.2562778252,75621.01462007704,45081.59540175715,27446.65566248794,27075.612190466883,2064892.3114382122,9016.996993179966,12670.713
World,2021-05-24,7882631890,82013.20968544234,102728.11442436058,101179.13551397156,82013.20968544234,44212.92169440812,25920.96315872596,24930.057398822366,1919211.9985810658,8380.83842175138,12021.151
World,2021-05-31,7882631890,57746.05547831004,82924.67403275987,79135.95443895766,63261.41226749878,38954.814418130234,23848.64680825886,23467.255747268468,1974148.4442953486,8620.735564608509,11236.146
World,2021-06-07,7882631890,57712.49898496692,73730.38693606413,70710.77620592897,57712.49898496692,34897.8971350307,22693.418201935157,22197.33077456724,1990527.586630219,8692.26020362541,9783.481333333333
World,2021-06-14,7882631890,40381.20336471625,50935.340498257276,49762.29785880553,41307.72601614357,30714.467846097054,22875.19118841735,21748.002020855078,2050876.7199635517,8955.793536958741,9752.003999999999
World,2021-06-21,7882631890,33725.40492105449,46861.33590431473,45759.73341432905,37227.77286747692,27481.708956898892,21938.764904785538,21452.106510544007,2016274.7030747135,8804.693026527133,8750.84
World,2021-06-28,7882631890,30696.494269932966,42858.47720742568,41276.74870687884,34501.99469375529,27473.142870447395,22285.936910062454,22030.97007241214,2085147.761646143,9105.448740812852,8060.578
World,2021-07-05,7882631890,29595.75532406175,39772.64168209163,38174.57431096493,33419.120096742095,26473.386360660523,23286.958859147162,23035.534132748493,2152452.237053213,9399.354746957262,7887.5779999999995
World,2021-07-12,7882631890,30797.62879412851,42720.45341964651,41096.892799704496,35895.30251999276,28856.720768144824,25197.06852600533,24205.904348365682,2374666.9670532085,10369.724746957243,8200.144
World,2021-07-19,7882631890,32347.40920591682,44870.30191022638,41111.49713144082,36988.16860272011,30191.302458559923,26511.485474278867,25348.128521272345,2414711.215624644,10544.590461242988,7959.004
World,2021-07-26,7882631890,34602.09351617608,47425.791783019886,44676.663567824085,39295.22023197749,32870.52239564835,28195.269876905666,27281.33889296453,2593600.9994341633,11325.768556481064,8891.721
World,2021-08-02,7882631890,40958.42848346436,51171.466340445986,49157.96782723433,43279.36730444027,36147.50962148335,31291.54460269417,30451.38089748058,3084099.040202212,13467.681398262936,9165.712
World,2021-08-09,7882631890,37767.45482980031,49831.1787948719,47204.17564715564,42792.527809701845,36161.43703019177,31500.776511874123,31403.20070104243,3279595.7949641203,14321.379017310568,9615.336333333333
World,2021-08-16,7882631890,37387.493626132164,49036.57658815487,48506.23538589056,42478.328190944936,36329.53563151614,32026.114322353016,31170.545109018567,3524250.344011737,15389.739493501034,9867.151
World,2021-08-23,7882631890,37437.08125548951,48534.93126855113,47091.089144940015,43057.76709767676,35949.97137076994,32303.073162012603,31465.61292831724,3642458.3992498345,15905.931874453427,10031.938
World,2021-08-30,7882631890,35862.50400903368,45135.33854194688,44084.38861991402,40672.5219058037,33813.23438984149,29878.93694887919,28587.51663387871,3579846.964011736,15632.519493501031,9879.854
World,2021-09-06,7882631890,35926.882412872576,45452.417179355216,44252.94379676011,39779.57451752591,34220.34912559029,29975.744278322003,29534.93979094139,3742108.4492651937,16341.084931289055,9493.858
World,2021-09-13,7882631890,33648.36932392704,41176.642377956414,40948.74476205548,37139.32640254586,31279.91708115976,27413.56164461417,27175.546507220646,3521098.586408048,15375.976359860471,9102.02
World,2021-09-20,7882631890,32145.528567701742,39662.27979110497,39144.30544692626,35310.11621942926,29562.41134454717,25836.936655687143,25626.949717394706,3277057.3235405567,14310.293989260073,8704.932
World,2021-09-27,7882631890,29958.684032918405,38378.43670109766,36661.54657813902,32141.227874851702,27568.747610063405,24576.732372078633,24309.837082202248,3159626.450683415,13797.495417831506,8058.575
World,2021-10-04,7882631890,28219.082843153934,35123.0699050182,34703.75946145685,29908.01674265424,25621.85321800429,22548.948075152228,22337.520120144203,2909753.602510014,12706.347609214035,7671
World,2021-10-11,7882631890,27902.448310006006,34601.62713799203,34180.00875688575,29482.329128893703,24873.123598302886,22170.019064646374,21470.006536853973,2994881.735367157,13078.086180642607,6970.028666666667
World,2021-10-18,7882631890,27260.086499331468,33997.49110843725,32847.09760678155,28890.00664629219,24547.04214460565,22057.099101940432,21267.01141206917,2985763.9367957287,13038.270466356895,6916.0886666666665
World,2021-10-25,7882631890,26880.639874808578,34263.580909855256,33010.63488882248,29433.832238074327,24477.502335342244,21881.38465967259,21059.2700482941,2994746.080129062,13077.493799690226,7144.86
World,2021-11-01,7882631890,27013.133456787084,33995.61580317082,33017.2546962482,28746.524117940146,24969.078043952697,22765.51392194194,21262.925045562446,3104453.116410187,13556.56382711872,7251.716
World,2021-11-08,7882631890,26707.28533833245,32447.052981818168,31690.368978843,28078.149195042904,24509.06272353634,22107.605947836895,21193.953299308418,3155081.744981615,13777.649541404431,7108.059333333334
World,2021-11-15,7882631890,25083.72528726628,31816.759922427995,30973.14410121713,26776.97691731875,23598.75284364547,21541.823427827792,20493.869413172244,3137499.7792673297,13700.872398547292,7297.425
World,2021-11-22,7882631890,25161.338336539906,31873.8550624329,31520.32823404773,27329.897394558397,23745.99805837868,21617.37691101388,21322.643613429183,3175378.233076854,13866.280493785389,7309.144
World,2021-11-29,7882631890,25461.797674989353,32159.002047643757,31470.84354657019,27760.356599075032,24133.47003982402,21719.893971095018,21285.793289674755,3397045.6530768536,14834.260493785387,7147.722
World,2021-12-06,7882631890,21827.28727804814,27431.292248893147,27151.806912184675,24280.11589408279,20475.21555839552,18016.954369093568,17465.981574005553,2561108.5827095495,11183.880273840827,8052.861
World,2021-12-13,7882631890,20305.02894470099,26279.459568170285,25952.09085682386,22813.152147197336,18990.723324777045,16510.39227765119,15969.02039015307,2432320.400328597,10621.486464317017,7138.431
World,2021-12-20,7882631890,20766.62491133345,27222.854842116263,26750.604121984677,23432.10284400011,19503.49677543241,17236.327915289126,17118.4954356984,2406537.072233359,10508.895511936065,6957.147
World,2021-12-27,7882631890,19865.86585389409,27125.187404569613,26652.231586383066,22695.010720707563,19162.230747182602,16828.191925681018,16331.325303689915,2294290.6794676543,10018.736591561808,6561.867
World,2022-01-03,7882631890,17945.85046934967,26068.70093303625,24810.49479009635,21600.224571157803,17776.349939932516,14776.546448883837,14710.014698675108,1906214.3487347174,8324.080125479115,6126.432
World,2022-01-10,7882631890,21227.402619694592,33819.504954627766,32844.38941343574,27026.064154848536,21227.402619694592,19040.37224391142,18077.81576853934,2102941.7058770647,9183.151554048318,6635.027666666667
World,2022-01-17,7882631890,24623.823223805404,43882.9016907177,41649.795166006326,34031.602556273654,24623.823223805404,21431.601389338564,20548.777479721633,2364953.1463532588,10327.306315953096,7350.429
World,2022-01-24,7882631890,27919.03195813688,46579.02805936291,45696.85059031814,37236.511541467495,27919.03195813688,23777.673633978105,23214.362655530294,2846475.5356389717,12430.024173095946,8389.292
World,2022-01-31,7882631890,29176.997367073942,49265.16137596177,44802.50452648512,36855.28298919076,27355.222917358264,23851.30878917337,23472.08989633332,2589453.841591352,11307.658696905468,9705.102666666668
World,2022-02-07,7882631890,28739.01247700006,45718.70413608579,42571.61920851739,33866.798701250744,26607.77593564557,22620.99981263493,22424.110771541782,2498451.606958332,10910.269026018917,10638.721
World,2022-02-14,7882631890,26229.886747532517,38856.33592812035,37795.806481556225,30648.36533432889,23968.49506409753,21005.992380443684,19791.017156035898,2133343.548624999,9315.910692685584,10704.289999999999
World,2022-02-21,7882631890,20049.965936533736,32109.21057583821,29745.38605421513,26561.67933151735,20049.965936533736,17598.378322230637,16982.705701366776,1737923.251005951,7589.184502209393,9700
World,2022-02-28,7882631890,18128.626340673316,28149.678242045466,27783.673334630148,24156.513038852947,18128.626340673316,15990.8285612649,14825.88813222529,1108804.0746717071,4841.9391907061445,8690.151
World,2022-03-07,7882631890,17733.78212282341,26587.214261343164,25970.78128255673,22086.816059739576,17161.40493198904,14103.163382938288,12710.81728591094,753360.3901110493,3289.7833629303464,7298.502
World,2022-03-14,7882631890,14496.538527154882,23769.346348538995,23055.58580612233,19160.051649132536,14496.538527154882,12422.24692526667,11948.64377150342,775278.5991707008,3385.4960662476014,6153.676666666666
World,2022-03-21,7882631890,14339.680269674953,25007.70170955387,24177.81363978167,18580.572757608727,14339.680269674953,12015.776368208337,11550.49835374517,779385.367730102,3403.429553406559,5277.962666666666
World,2022-03-28,7882631890,18378.051613965297,29500.42508017005,28987.411177965234,22740.376767251608,17280.387002722946,14554.712400646575,14117.64493616315,991026.949634858,4327.628601025581,5003.008
World,2022-04-04,7882631890,12359.448458335159,23586.945907020654,21342.01009607464,17076.44767234814,12265.221781758697,9287.700453177556,8806.884249069659,564255.1451519257,2463.996267038977,3818.508
World,2022-04-11,7882631890,15238.338582564584,29569.33127028005,22569.79200816043,18503.017088630946,12759.583880313452,9439.54351584023,9044.268725014752,499241.6089614517,2180.0943622770815,3399.004
World,2022-04-18,7882631890,16428.97860028546,24637.3883515109,22505.389140851323,17905.2623596318,11758.288917802156,8786.383052715873,7849.93515214209,474194.0251519251,2070.7162670389744,2595.863
World,2022-04-25,7882631890,13507.335082966929,22916.80360961542,21949.984665768832,16568.20167741116,10682.440679780793,8247.194891683574,7998.935843782309,460164.61277097155,2009.4524575151597,2576.833
World,2022-05-02,7882631890,13278.977675933402,28181.783138136823,26739.796142110903,17918.094117570938,10627.186002930708,7062.83041688399,6756.645517507886,475109.16332397144,2074.7125035981285,2470.0266666666666
World,2022-05-09,7882631890,15801.45083586492,30527.685934377103,29282.34791671166,19555.63498035524,12186.051598527854,8332.335125575524,8182.937340738097,696114.2339844316,3039.8001484036313,2023.0040000000001
World,2022-05-16,7882631890,18148.06169296191,31674.453624507274,30302.586740312818,18791.390593340697,10907.251937997657,7518.195513160856,7179.652381529501,561741.7230320517,2453.020624594112,1634.2723333333333
World,2022-05-23,7882631890,28117.069711420834,43020.88870985955,38228.31316655379,29451.931813132273,10856.441807138408,6424.50699341223,5984.860795550203,397113.29588919115,1734.1191960226688,1600.3116666666667
World,2022-05-30,7882631890,18863.77369075066,30975.841162271387,30364.86614442344,19792.22271346223,11250.673200817477,8132.556756970272,7380.670018834858,424282.7288827554,1852.7630082216392,1470.867
World,2022-06-06,7882631890,16716.001373717434,32891.90190173322,30911.15186083531,20467.628802907388,12206.326944718143,8719.075974266229,7920.24689497645,610180.4739620336,2664.5435544193606,1308.147
World,2022-06-13,7882631890,15178.01046320202,25781.852552029046,24783.32682689513,17059.755105009175,12040.1581422701,9120.821635406073,8807.858784073731,691005.478723939,3017.4911734669827,1580.5829999999999
World,2022-06-20,7882631890,12736.447801951412,25299.52338699928,23471.638611562445,17872.4322581681,11897.047428773752,8531.603325004337,7984.0805827944005,670236.5963429838,2926.7973639431607,1358.72
