world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2021-07-12,7951213330,9653272.822511228,12406089.780288318,12263340.865977746,11135160.12027949,9653272.822511228,8551202.510043636,8193450.881295241,1199452082.398689,5082424.077960546,4087787.554666667
World,2021-07-19,7951213330,9842260.855929121,12612559.191099126,12504690.262495197,11344105.832963731,9842260.855929121,8734727.937989611,8344671.392221257,1218193282.864664,5161835.944341797,4143951.5786666665
World,2021-07-26,7951213330,10056874.635718577,12854986.957253706,12767660.746079804,11603924.067286855,10056874.635718577,8922456.873014856,8527811.886133056,1238208186.3439727,5246644.857389715,4214489.6126666665
World,2021-08-02,7951213330,10311175.389450235,13112476.054019947,13048504.752001861,11897284.017475339,10311175.389450235,9176275.625799254,8752234.215543296,1262040055.8959692,5347627.355491395,4279795.6296666665
World,2021-08-09,7951213330,10549851.276427023,13374059.838311221,13327805.18263794,12175393.868606811,10549851.276427023,9412471.395191422,8969487.29467046,1287318766.7146325,5454740.536926409,4349302.668666666
World,2021-08-16,7951213330,10788693.960038,13648326.822742715,13613236.889315646,12454706.53699117,10788693.960038,9659791.424242618,9183083.978139115,1314355093.0399625,5569301.241694756,4418947.684666666
World,2021-08-23,7951213330,11043663.79008524,13915928.849829493,13898673.258613318,12722638.514094207,11043663.79008524,9874870.729774171,9398173.114973534,1342238646.7786257,5687451.893129771,4490067.705666667
World,2021-08-30,7951213330,11279475.19331945,14194327.594752517,14154238.562375424,12988425.479106182,11269734.093296407,10083363.382053224,9604893.100109367,1369678783.2639558,5803723.657898118,4560189.694666667
World,2021-09-06,7951213330,11514200.878591139,14483039.329031989,14411601.535679523,13250439.141325422,11507379.105438964,10291349.17584626,9816543.794564126,1398239592.6735868,5924744.036752487,4628173.715666667
World,2021-09-13,7951213330,11722988.73457613,14751495.302931894,14650096.126940243,13483386.385372747,11722988.73457613,10480806.816481091,10007063.598391576,1425177486.723218,6038887.655606856,4690700.739666667
World,2021-09-20,7951213330,11914596.90428153,15007065.702585546,14881482.831366349,13725932.458244734,11914596.90428153,10654864.242903365,10186769.620635087,1450362991.896617,6145605.897867021,4750623.791666667
World,2021-09-27,7951213330,12098512.396047082,15248286.195357868,15078575.337230645,13934530.950076899,12098512.396047082,10817539.741034027,10359127.225173341,1474727785.8300161,6248846.550127187,4804799.794666667
World,2021-10-04,7951213330,12267015.739303783,15448671.156127004,15268689.367550785,14135174.573862867,12267015.739303783,10979368.032497266,10512044.292830124,1497909265.3844905,6347073.158408859,4856555.137
World,2021-10-11,7951213330,12438143.336851424,15650439.283364033,15452098.012231056,14332693.681171063,12438143.336851424,11125429.356372379,10669344.878672954,1521698201.858965,6447873.73669053,4904465.325666667
World,2021-10-18,7951213330,12599838.357548187,15837790.637739984,15627137.34940598,14520399.397643663,12599838.357548187,11270601.547170866,10824547.44902408,1545421693.1734395,6548397.004972201,4950611.369666667
World,2021-10-25,7951213330,12759234.571002124,16034848.125700433,15811172.134266136,14708819.63437508,12759234.571002124,11417061.345430022,10980523.0633022,1569212907.8345804,6649207.236587206,4999845.393666667
World,2021-11-01,7951213330,12914975.591641666,16225799.65548632,16000571.16186961,14877821.95245016,12914975.591641666,11560738.886239773,11136026.829305585,1592154396.0475478,6746416.932404864,5050243.4476666665
World,2021-11-08,7951213330,13070246.53227009,16408011.166191436,16173194.71416427,15055349.468126856,13070246.53227009,11704926.993982837,11285098.468428232,1615445919.460515,6845109.828222521,5099654.501666667
World,2021-11-15,7951213330,13225802.933111785,16588645.974584905,16348626.302063912,15224605.622327073,13225802.933111785,11839753.832454564,11430902.327168005,1638620377.4334822,6943306.684040179,5150694.5046666665
World,2021-11-22,7951213330,13382078.614239186,16765259.376521792,16520917.584500164,15395758.198600436,13382078.614239186,11971528.679059569,11577015.822098462,1662067239.9797828,7042657.796524503,5204742.568666667
World,2021-11-29,7951213330,13545371.508640576,16947430.22964828,16719798.489974758,15570092.754552072,13545371.508640576,12114452.694146277,11736985.67992372,1687121087.8860834,7148818.169008828,5254806.603666667
World,2021-12-06,7951213330,13684334.443070704,17099529.878460344,16889399.339508396,15708200.831075177,13684334.443070704,12245347.436648522,11865922.20204727,1706681804.1997883,7231702.560168594,5308769.631666667
World,2021-12-13,7951213330,13814252.039081682,17236479.23021718,17034043.88226935,15830933.254860884,13814252.039081682,12369801.096101286,11986432.27960071,1725303628.3401597,7310608.594661694,5358181.679666666
World,2021-12-20,7951213330,13950254.999022955,17385619.181201342,17183131.326508563,15966073.963657381,13950254.999022955,12497970.541679349,12108810.41435925,1743777306.627198,7388886.892488127,5405160.744666667
World,2021-12-27,7951213330,14084369.775220064,17537566.974206734,17326606.113490783,16094212.337739736,14084369.775220064,12610255.210481096,12219387.785899673,1761411855.074407,7463609.55540003,5451171.772666667
World,2022-01-03,7951213330,14226229.420828993,17699564.212392386,17477381.7913677,16259592.884241313,14226229.420828993,12729919.984993808,12326808.204030821,1776465121.618104,7527394.583127559,5493940.778666667
World,2022-01-10,7951213330,14449289.841695921,17934277.249923542,17718289.177127223,16501098.822358495,14449289.841695921,12875493.359674312,12458110.542847523,1792775693.8951306,7596507.17752174,5540143.795666667
World,2022-01-17,7951213330,14776727.893431813,18199788.34198813,18070234.35685583,16805672.613172848,14703616.406874161,13075448.795523064,12594055.857082259,1811031201.1721573,7673861.02191592,5594074.882666667
World,2022-01-24,7951213330,15127281.670217255,18441592.302808743,18437478.796221357,17158372.61677936,14963435.586792117,13285120.8217168,12751677.350157183,1832731331.0158505,7765810.724643434,5653481.922666667
World,2022-01-31,7951213330,15474787.426704396,18861761.815292437,18679350.084320273,17542741.917512916,15266048.904619705,13478793.428416673,12917706.75775746,1852605027.3595438,7850021.302370948,5722830.929666666
World,2022-02-07,7951213330,15794408.435130727,19312114.73109504,18930729.88591391,17858283.401731398,15546011.396698825,13649832.535068814,13074168.455889205,1871331190.3731616,7929369.450733735,5798764.962666667
World,2022-02-14,7951213330,16062855.933740657,19641107.987181913,19267210.729583584,18171162.17447652,15776359.810053824,13780419.954199044,13212761.228941442,1887432205.4201126,7997594.090763189,5874218.991666666
